PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
1590421,0,young Wistar rat,animal,Animal – Rat,"fractional reabsorption, down",Ion & Nutrient Transport,nephron,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",endogenous plasma ketone body concentration,NS,NS
15929991,HCAR2,mice,animal,Animal – Mouse,"PUMA-G/HM74a activation, up",Inflammation & Immune Response,adipose tissue,Adipose tissue,adipocytes,Adipose,White adipocytes,NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"ketoacidosis, down","Ketoacidosis, down",fatty acid-derived ketone body,Ketogenic diet (endogenous),D-BHB
15980225,0,rat dry eye model; JB-treated rats,animal,Animal – Rat,"NS, nan",Other / Unspecified,corneal epithelium,Eye/Retina,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Dry eye syndrome,Ophthalmologic,"punctate staining, down","Staining pattern, down",eye drops containing 80 mM HBA,In vitro media supplementation,D-BHB
16001018,0,wakeful rat,human; animal,Animal – Rat,"direct effect on the cerebral endothelium, up",Vascular Function & Angiogenesis,brain,Brain/CNS,cerebral endothelium,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"cerebral blood flow, up; cerebral metabolic rate for oxygen, no-change; cerebral metabolic rate for glucose, no-change","Cerebral blood flow, up; Oxygen consumption, no-change; Cerebral metabolic rate for glucose, no-change",infusion of beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
1618920,0,human endothelial cell monolayers,in vitro,In vitro – Primary cells,"energy deficiency, up",Metabolic Regulation,endothelium,Vasculature,human endothelial cell,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone body (beta-hydroxybutyrate),Exogenous BHB (unspecified/free acid),NS
16239214,0,Caenorhabditis elegans expressing alpha-synuclein; parkin deletion (K08E3.7); DJ-1 knockdown (B0432.2); parkin knockdown; nontransgenic nematodes,animal,Animal – Invertebrate; NS; In vitro – Immortalized cell line,"mitochondrial complex II activation, up",Mitochondrial Function & Bioenergetics,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Parkinson's disease,Neurodegenerative,"vulnerability to mitochondrial complex I inhibitors, down","Cell viability, down",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
16377494,BAD; AKT1; NOS3; BCL2; PARP1,Sprague Dawley rats,animal,Animal – Rat,"PI3K/Akt pathway, no-change",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hepatic apoptosis,Gastrointestinal & Hepatobiliary,"apoptosis, down","Apoptosis, down",ketone (beta-hydroxybuturate) Ringer's (KR),Ketone salt (KS),NS
16435389,ANXA5,HT22 cell line; rat primary hippocampal neurons,in vitro,In vitro – Immortalized cell line; Animal – Rat,"ROS production, down",Oxidative Stress & Antioxidant Defense,hippocampus,Brain/CNS,hippocampal neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"neuronal cell death, down","Neuronal survival, down",4 mM Na beta-OHB,In vitro media supplementation,NS
16456436,TNF,Yorkshire swine; hemorrhagic shock model,animal,Animal – Other Mammal; NS,"apoptosis, down",Cell Death & Survival,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"apoptotic cell death, down","Apoptosis, down",Ketone Ringer's (KR),Intravenous BHB,NS
1653662,PNMT; 0; GH1; GCG,six healthy subjects,human,Human – Observational/Patient samples,"nervous tissue ketone metabolism, NS",Metabolic Regulation,nervous tissue,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoglycemia,Metabolic & Endocrine,"neurohumoral responses to hypoglycaemia, down","Blood glucose, down",infusion of beta-hydroxybutyrate (3 mg min-1 kg-1 body weight),Exogenous BHB (unspecified/free acid),NS
16549197,0,L929 cells,in vitro,In vitro – Immortalized cell line,"prevention of apoptotic and necrotic cell death, down",Multiple mechanisms,NS,NS,L929 cells,Stromal / Mesenchymal,Fibroblasts,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","D,L-beta-hydroxybutyrate (HB)",Exogenous BHB (unspecified/free acid),racemic
16612289,0,rat,animal,Animal – Rat,"NS, nan",Other / Unspecified,liver; lung; spleen,Liver; Lung; Spleen,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone Ringer's (KR),Multi-source,NS
16644683,PNMT; 0,Male Wistar rats,animal,Animal – Rat,"metabolic sensor responding to events subsequent to uptake and oxidation of glucose, NS",Metabolic Regulation,portal vein,Vasculature,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoglycemia,Metabolic & Endocrine,"sympathoadrenal response, no-change","Sympathoadrenal response, no-change",portal or jugular vein infusions,Intravenous BHB,NS
16742571,0,rats; perfused hearts; diaphragms,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"acetylation of carnitine, up",Metabolic Regulation,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",dl-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
16857877,0,Squalus acanthias,animal,Animal – Other Mammal,"enhancement of gland activity, up",Other / Unspecified,rectal gland,Large intestine/Colon,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
16917840,CYCS; CASP9; CASP3; 0,SH-SY5Y dopaminergic neuroblastoma cells (differentiated by all-trans-retinoic acid),in vitro,In vitro – Immortalized cell line,"mitochondrial respiration, up",Mitochondrial Function & Bioenergetics,mammalian brain,Brain/CNS,SH-SY5Y dopaminergic neuroblastoma cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Parkinson's disease,Neurodegenerative,"neuronal survival, up","Survival, up",D-beta-hydroxybutyrate (bHB),Exogenous BHB (unspecified/free acid),D-BHB
16960657,AKT1; INSR; IRS1; PIK3R1; MAPK14; 0,cardiomyocytes,in vitro,In vitro – Primary cells,"PI3-K/PKB signaling cascade, down","Cell Proliferation, Growth & Differentiation",heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,Insulin resistance,Metabolic & Endocrine,"glucose uptake, down","Glucose uptake, down",5 mM OHB,In vitro media supplementation,NS
1696304,0,freshly isolated porcine islets,animal; in vitro,Animal – Other Mammal,"initiation of insulin release, up; potentiation of insulin release, no-change",Hormonal Regulation; Hormonal Regulation,porcine islets,Pancreas,porcine islet cells,Pancreatic Endocrine,Islet cells (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate (10 mmol/l),Exogenous BHB (unspecified/free acid),NS
17047174,0,Male Sprague-Dawley rats (150-200 g),animal,Animal – Rat,"protein degradation, down",Cell Death & Survival,small intestine,Small intestine,enterocytes,Epithelial – Gastrointestinal,Intestinal enterocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",20 mmol/L beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
17115265,0,rats; IOA-treated rats; glutamate intrastriatal injection,animal,Animal – Rat; Animal – Other Mammal,"lipoperoxidation, down",Metabolic Regulation,striatum,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Glutamate toxicity,Toxicology / Poisoning,"neuronal damage, down","Neuronal survival, down",D-beta-hydroxybutyrate (D-BHB),Exogenous BHB (unspecified/free acid),D-BHB
1713820,0,opossum esophagus muscle strips,animal,Ex vivo – Tissue/Organ explant or slice,"substrate utilization, NS",Metabolic Regulation,esophageal muscle,Esophagus,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
17227964,0; MAPK14,cardiomyocytes,in vitro,In vitro – Primary cells,"AMPK/p38 MAPK signaling, down",Metabolic Regulation,heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,mitochondria,Mitochondria,Unspecified,Cardiomyopathy,Cardiovascular,"cardiac glucose uptake, down","Glucose uptake, down",OHB,NS,NS
17240074,0,rat neocortical neurons; acutely isolated mitochondria,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"NAD+/NADH ratio increase, up",Multiple mechanisms,neocortex,Brain/CNS,neocortical neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Glutamate excitotoxicity,Neurodegenerative,"neuronal death, down","Neuronal survival, down",combination of beta-hydroxybutyrate and acetoacetate (1 mM each),Exogenous BHB (unspecified/free acid),NS
1727653,PDHA1; NNT; 0,NS,NS,NS,"mitochondrial NAD system reduction, down",Mitochondrial Function & Bioenergetics,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"gluconeogenesis, up","Gluconeogenesis, up",NS,NS,NS
1734029,0,primary rabbit kidney proximal tubule cells,animal; in vitro,Multi-model,"cell growth, up","Cell Proliferation, Growth & Differentiation",kidney,Kidney,proximal tubule cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
17369104,0; CASP3,PC12 cells,in vitro,In vitro – Immortalized cell line,"Bcl-2/Bax mRNA up-regulation, up",Cell Death & Survival,NS,NS,PC12 cells,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Parkinson's disease,Neurodegenerative,"apoptosis, down","Apoptosis, down",NS,NS,D-BHB
17386967,0,Sprague Dawley rats,animal,Animal – Rat,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone Ringer's (KR),Multi-source,NS
17409226,0,rat substantia nigra pars reticulata slices; mouse substantia nigra pars reticulata slices,animal; in vitro,Animal – Rat; Animal – Mouse,"K(ATP) channel function, up",Ion & Nutrient Transport,substantia nigra pars reticulata,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure generalization, down","Seizure activity, down",physiological concentrations,NS,NS
176141,0,Azotobacter vinelandii (ATCC 12837); wild-type; nif- strains,in vitro,Animal – Invertebrate; NS,"encystment, up","Cell Proliferation, Growth & Differentiation",NS,NS,wild-type cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",0.2% beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
17684053,0,homozygotic twin boys,human,Human – Observational/Patient samples,"ketone body utilization, down",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ketotic hypoglycemia,Metabolic & Endocrine,"NS, nan","NS, nan",60-min infusion,NS,NS
17822827,0; KAT2A; HAT1; EP300; FOS; MYC; HSPA1A,Yorkshire swine,animal,Animal – Other Mammal,"histone acetylation, up",Epigenetic Regulation,heart,Heart,NS,Unspecified / Mixed,NS,chromatin,Nucleus & Chromatin,Chromatin,Hemorrhage,Injury & Trauma,"NS, nan","NS, nan",Ketone Ringer's (KR) (equimolar substitution of lactate with beta-hydroxybutyrate),Exogenous BHB (unspecified/free acid),NS
17904939,0,untrained overweight adults,human,Human – Observational/Patient samples,"fatigability, up",Other / Unspecified,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"perceived exercise effort, up; fatigue, up; total mood disturbance, up; weight loss, no-change","Exercise capacity, up; Fatigue, up; Mood disturbance, up; Body weight, no-change",ketogenic low-carbohydrate diet,Ketogenic diet (endogenous),NS
17974626,AGRP; 0; PRKAA1,N-38,in vitro,NS,"ATP increase, up",Mitochondrial Function & Bioenergetics,hypothalamus,Brain/CNS,N-38 cells,Unspecified / Mixed,Cell line (origin unclear),cytoplasm/nucleus,Multi-organelle,Multiple,nan,Other / Unspecified,"NS, nan","NS, nan",3-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
181503,0; PNPLA2; PDE3B,rat white fat cells; rat fat cells; rat adipose tissue; rat fat cell ghosts,animal,Animal – Rat,"inhibition of cyclic AMP accumulation, down",Metabolic Regulation,white fat,Adipose tissue,fat cells,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
18160486,INS,INS-1 832/13 cells; rat pancreatic islets; isolated mitochondria,animal; in vitro,In vitro – Immortalized cell line; Animal – Rat; NS,"anaplerosis, up",Metabolic Regulation,pancreatic islets,Pancreas,INS-1 832/13 cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin release, up","Insulin secretion, up",NS,NS,NS
18189272,0,NRK-49F cells; UUO rats,animal; in vitro,In vitro – Immortalized cell line; Animal – Rat,"NS, nan",Other / Unspecified,renal interstitium,Kidney,normal rat kidney interstitial fibroblast,Stromal / Mesenchymal,Fibroblasts,NS,Unspecified / Generic,NS,Renal fibrosis,Renal & Urological,"fibrosis, up","Fibrosis, up",NS,NS,NS
18339375,0,rat; neuronal cells,animal; in vitro,Animal – Rat; NS,"antioxidant capacity, up",Oxidative Stress & Antioxidant Defense,rat hippocampus,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Insulin-induced hypoglycemia,Metabolic & Endocrine,"lipid peroxidation, down; ROS production, down; cell death, down; neuronal ATP, up","Oxidative stress, down; Apoptosis, down; Cell viability, up",D- or L-BHB,Exogenous BHB (unspecified/free acid),racemic
18439432,0,rat pancreatic islets; INS-1 cells; ATP citrate lyase-deficient INS-1 cells,animal; in vitro,Animal – Rat; In vitro – Immortalized cell line,"acetoacetate-transferred acyl carbon, up",Other / Unspecified,pancreatic islets,Pancreas,INS-1 cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin release, up","Insulin secretion, up",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
18565731,0,CD1 mice; C3H mice; 6-Hz model; fluorothyl model; pentylenetetrazole model; kainate model,animal,Animal – Mouse; Animal – Rat; Animal – Other Mammal,"plasma d-BHB, up",Metabolic Regulation,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"anticonvulsant effect, up (6-Hz model); anticonvulsant effect, no-change (fluorothyl model; pentylenetetrazole model, nan; kainate model hippocampus), nan","Seizure protection, up (6-Hz model); Seizure protection, no-change (fluorothyl model; Seizure activity, nan; Brain injury, nan",4:1 and 6:1 KDs,Ketogenic diet (endogenous),D-BHB
1860552,IAPP,isolated perfused normal rat pancreas,animal,Animal – Rat,"amylin secretion, up",Hormonal Regulation,pancreas,Pancreas,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
1864482,0,mouse embryos; early somite stage,animal; in vitro,Animal – Mouse; NS,"cell number, down",Other / Unspecified,cranial neuroepithelium,NS,cranial neuroepithelial cells,Neural / Glial,Neural stem/progenitors (NSC/NPC),NS,Unspecified / Generic,NS,Anencephaly; Spina bifida,Genetic / Congenital,"neurological deficits, up","Neurological deficit score, up","medium containing 32 mmol/l D,L,-beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),racemic
18646208,0,rats; CA1 pyramidal neurons; brain protein extracts,animal; in vitro,Animal – Rat; In vitro – Primary cells; Ex vivo – Tissue/Organ explant or slice,"antioxidant mechanism, up",Oxidative Stress & Antioxidant Defense,hippocampus,Brain/CNS,CA1 pyramidal neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Impairment of hippocampal long-term potentiation,Neurodegenerative,"long-term potentiation, up","Long-term potentiation, up",combination of ACA and BHB (1 mM each),In vitro media supplementation,NS
18648382,HIF1A; BCL2,reversible middle cerebral artery occlusion (MCAO); ketogenic diet (3 weeks); intraventricular BHB infusion (4 days),animal,Animal – Other Mammal; Human – Interventional,"succinate elevation, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Stroke,Cerebrovascular / Stroke,"infarct volume, down","Infarct size, down",intraventricular infusion; diet-induced ketosis,NS; Ketogenic diet (endogenous),NS
18777091,0; SOD1; CAT,developing rats,animal,Animal – Rat,"pro-oxidant activity, no-change; antioxidant activity, no-change",Oxidative Stress & Antioxidant Defense,cerebral cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
1881416,0,223 pregnant women: pregestational diabetes mellitus; gestational diabetes mellitus; normal carbohydrate metabolism,human,Human – Observational/Patient samples; NS,"altered brain development in utero, down","Cell Proliferation, Growth & Differentiation",brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Gestational ketonemia,Metabolic & Endocrine,"mental-development-index (age 2), down; Stanford-Binet average (ages 3-5), down","Cognitive performance, down",plasma beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
